OBJECT,Catalogue,off_u_gaia,dmag_u,off_u
KIDS_198.6_3.5,KIDS_198p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.02172422609605966,0.0355615641917084,0.013837338095648744
KIDS_215.6_-2.5,KIDS_215p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.08477180833981929,0.1900595927673419,0.10528778442752262
KIDS_163.0_1.5,KIDS_163p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.022426513562021744,0.140025534522945,0.16245204808496674
KIDS_329.7_-31.2,KIDS_329p7_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.027940978777275666,0.1279187054293196,0.09997772665204394
KIDS_40.4_-27.2,KIDS_40p4_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.07028392221564808,-0.000645363142689,0.06963855907295909
KIDS_205.0_-0.5,KIDS_205p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.020111812082529643,0.0905618915818198,0.11067370366434945
KIDS_217.6_-3.5,KIDS_217p6_m3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.09742969039197857,-0.0352107734385582,0.062218916953420376
KIDS_235.7_2.5,KIDS_235p7_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.02152441827003601,0.038870973479624,0.060395391749660014
KIDS_183.0_-1.5,KIDS_183p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-8.777705658488677e-05,-0.0126073586453799,-0.012519581588795013
KIDS_11.3_-28.2,KIDS_11p3_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.022035706597053062,0.0187771356440263,0.04081284224107937
KIDS_334.5_-35.1,KIDS_334p5_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0675398844814606,0.0968783133745405,0.0293384288930799
KIDS_37.0_-27.2,KIDS_37p0_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.1040585843647008,0.1434243112652879,0.2474828956299887
KIDS_224.0_0.5,KIDS_224p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06015790917497485,0.1576541880357861,0.09749627886081125
KIDS_183.5_-3.5,KIDS_183p5_m3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.044043795990831164,0.0576191817442523,0.10166297773508345
KIDS_338.4_-29.2,KIDS_338p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.015825389066069687,0.0456352720990081,0.02980988303293841
