OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_335.2_-28.2,KIDS_335p2_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.0681429803114035,0.06831698031140351,0.0464813809651937,0.0496663263849725,-0.021661599346209807,-0.01865065392643101
KIDS_19.2_-34.1,KIDS_19p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.0650991286494366,-0.06186812864943661,0.1271853411094349,0.1158160248781836,0.1922844697588715,0.1776841535276202
KIDS_2.4_-35.1,KIDS_2p4_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.05166823777707141,-0.05148423777707142,0.014391154073872,0.0180133407985007,0.06605939185094341,0.06949757857557212
KIDS_336.0_-34.1,KIDS_336p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.17801448003272682,-0.17748748003272682,-0.1146901881831652,-0.109976110773716,0.06332429184956162,0.06751136925901083
KIDS_47.1_-27.2,KIDS_47p1_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.059787339533192825,0.062050339533192826,0.1604084772350821,0.1782798438562879,0.10062113770188927,0.11622950432309506
KIDS_156.0_0.5,KIDS_156p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.00920133332291409,0.010012333322914097,0.1327503594581702,0.1240998048178006,0.12354902613525612,0.1140874714948865
KIDS_16.5_-32.1,KIDS_16p5_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.05756603875175051,0.05756603875175051,0.1975862956895255,0.2024194677683305,0.14002025693777498,0.14485342901658
KIDS_216.0_-1.5,KIDS_216p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.04174675184752255,-0.04181475184752256,-0.0209243377629795,-0.0285750752694281,0.02082241408454305,0.013239676578094463
KIDS_330.0_-34.1,KIDS_330p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.0498269277305666,-0.04914892773056659,0.0399874204789863,0.0320400836376313,0.08981434820955289,0.0811890113681979
KIDS_348.7_-28.2,KIDS_348p7_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.051891065404374215,0.05248206540437422,0.1281680850190977,0.1312167844292123,0.0762770196147235,0.07873471902483808
KIDS_228.0_-1.5,KIDS_228p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.014030497723038382,-0.01304249772303838,-0.008313394494257,-0.0144163312657897,0.005717103228781382,-0.001373833542751321
KIDS_160.4_-2.5,KIDS_160p4_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.0776301130656181,-0.0774661130656181,0.0715139772014015,0.0759506735371868,0.14914409026701958,0.1534167866028049
KIDS_348.0_-34.1,KIDS_348p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.03716786082235644,0.037562860822356436,0.1167032487158248,0.1281480816606639,0.07953538789346837,0.09058522083830747
